"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"Accipiter gentilis","Linnaeus, 1758",,"northern goshawk","Animalia","Chordata","Vertebrata",,"Aves",,,"Accipitriformes",,,"Accipitridae",,,"Accipiter","gentilis",,,,"native","S4B,S4N (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"5108","BIR"
"Anas crecca crecca","Linnaeus, 1758",,"Eurasian green-winged teal","Animalia","Chordata","Vertebrata",,"Aves",,,"Anseriformes",,,"Anatidae",,,"Anas","crecca",,,,"native","S5B,S5N (2015)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2019-12-29","Andrew Simon","iNat:37084654","rare winter species","6937","BIR"
"Anas crecca carolinensis","Gmelin, 1789",,"green-winged teal","Animalia","Chordata","Vertebrata",,"Aves",,,"Anseriformes",,,"Anatidae",,,"Anas","crecca",,"carolinensis",,"native","S5B,S5N (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"123676","BIR"
"Ardea herodias fannini","Chapman, 1901",,"great blue heron","Animalia","Chordata","Vertebrata",,"Aves",,,"Pelecaniformes",,,"Ardeidae","Ardeinae",,"Ardea","herodias",,"fannini",,"native","S2S3B,S4N (2009)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2009-05-03","Shera Street","iNat:2635593",,"236943","BIR"
"Passerina amoena","(Say, 1823)",,"lazuli bunting","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Cardinalidae",,,"Passerina","amoena",,,,"native","S5B (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"10234","BIR"
"Columba livia domestica","Gmelin, 1789",,"rock pigeon","Animalia","Chordata","Vertebrata",,"Aves",,,"Columbiformes",,,"Columbidae",,,"Columba","livia",,"domestica",,"exotic","unlisted",,"confirmed","observed","2012-05-12",,"VMS",,,"2017-02-10","Christian Adler","iNat:5179014",,"122767","BIR"
"Antigone canadensis","(Linnaeus, 1758)",,"sandhill crane","Animalia","Chordata","Vertebrata",,"Aves",,,"Gruiformes",,,"Gruidae",,,"Antigone","canadensis",,,,"native","S4B (2018)",,"new 2021","observed",,,,,,"2013-11-05","Michael Hoebel","iNat:102504413",,"508048","BIR"
"Sturnella neglecta","Audubon, 1844",,"western meadowlark","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Icteridae",,,"Sturnella","neglecta",,,,"native","SXB (2010)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2022-11-06","lornasdr","iNat:141331288",,"9535","BIR"
"Xanthocephalus xanthocephalus","(Bonaparte, 1826)",,"yellow-headed blackbird","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Icteridae",,,"Xanthocephalus","xanthocephalus",,,,"native","S4B (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"10470","BIR"
"Setophaga coronata auduboni","(Townsend, 1837)",,"Audubon's warbler","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Parulidae",,,"Setophaga","coronata",,"auduboni",,"native","S5B (2015)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2016-03-26","Sarah Tweedale","iNat:2928685",,"126562","BIR"
"Setophaga coronata coronata","(Linnaeus, 1766)",,"myrtle warbler","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Parulidae",,,"Setophaga","coronata",,"coronata",,"native","S5B (2015)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2011-05-01","Michael Hoebel","iNat:19562466",,"132704","BIR"
"Zonotrichia querula","(Nuttall, 1840)",,"Harris's sparrow","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Passerellidae",,,"Zonotrichia","querula",,,,"native","SUM (2015)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2019-12-27","Chad Diakow","iNat:37144595","listed as regularly occurring but “rare for this area” on the southern Vancouver Island checklist","9182","BIR"
"Pelecanus erythrorhynchos","Gmelin, 1789",,"American white pelican","Animalia","Chordata","Vertebrata",,"Aves",,,"Pelecaniformes",,,"Pelecanidae",,,"Pelecanus","erythrorhynchos",,,,,,,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2016-07-10","Michael Hoebel","iNat:102503941",,"4334","BIR"
"Sphyrapicus nuchalis","Baird, 1858",,"red-naped sapsucker","Animalia","Chordata","Vertebrata",,"Aves",,,"Piciformes",,,"Picidae",,,"Sphyrapicus","nuchalis",,,,"native","S5B (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"18467","BIR"
"Arenaria interpres","(Linnaeus, 1758)",,"ruddy turnstone","Animalia","Chordata","Vertebrata",,"Aves",,,"Charadriiformes",,,"Scolopacidae",,,"Arenaria","interpres",,,,"native","S4M (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"3938","BIR"
"Limnodromus scolopaceus","(Say, 1823)",,"long-billed dowitcher","Animalia","Chordata","Vertebrata",,"Aves",,,"Charadriiformes",,,"Scolopacidae",,,"Limnodromus","scolopaceus",,,,"native","S4N (2015)",,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist",,,"2013-10-07","Michael Hoebel","iNat:4054132",,"3873","BIR"
"Phalaropus fulicarius","(Linnaeus, 1758)",,"red phalarope","Animalia","Chordata","Vertebrata",,"Aves",,,"Charadriiformes",,,"Scolopacidae",,,"Phalaropus","fulicarius",,,,"native","SUM (2015)",,"reported","unobserved","2016-12-01","Keith Riding","eBird",,,,,,,"73203","BIR"
"Asio flammeus","(Pontoppidan, 1763)",,"short-eared owl","Animalia","Chordata","Vertebrata",,"Aves",,,"Strigiformes",,,"Strigidae",,,"Asio","flammeus",,,,"native","S3B,S2N (2015)",,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist",,,,,,,"20315","BIR"
"Sialia currucoides","(Bechstein, 1798)",,"mountain bluebird","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,"Turdidae",,,"Sialia","currucoides",,,,"native","S4S5B (2015)",,"new 2023","observed",,,,,,"2023-04-26","Kevin Toomer","iNat:156826200",,"12936","BIR"
"Tyto alba","(Scopoli, 1769)",,"barn owl","Animalia","Chordata","Vertebrata",,"Aves",,,"Strigiformes",,,"Tytonidae",,,"Tyto","alba",,,,"native","S2? (2015)",,"new 2017","observed",,,,,,"2017-02-25","Sarah Tweedale","iNat:5180293",,"20445","BIR"
